Year,Sport,Event,Country,Gender,Medal Rank,Medal,Name of Athlete or Team,Age of Athlete
1994,Figure Skating,Women's Singles,China,Women,3,bronze,Chen Lu,17
1994,Freestyle Skiing,Men's Moguls,Canada,Men,1,gold,Jean-Luc Brassard,21
1994,Freestyle Skiing,Men's Moguls,Russia,Men,2,silver,Sergey Shupletsov,23
1994,Freestyle Skiing,Men's Moguls,France,Men,3,bronze,Edgar Grospiron,24
1994,Freestyle Skiing,Men's Aerials,Switzerland,Men,1,gold,Sonny SchÃ¶nbÃ_chler,27
1994,Freestyle Skiing,Men's Aerials,Canada,Men,2,silver,Philippe LaRoche,27
1994,Freestyle Skiing,Men's Aerials,Canada,Men,3,bronze,Lloyd Langlois,31
1994,Freestyle Skiing,Women's Moguls,Norway,Women,1,gold,Stine Lise Hattestad,27
1994,Freestyle Skiing,Women's Moguls,United States,Women,2,silver,Liz McIntyre,28
1994,Freestyle Skiing,Women's Moguls,Russia,Women,3,bronze,Yelizaveta Kozhevnikova,20
1994,Freestyle Skiing,Women's Aerials,Uzbekistan,Women,1,gold,Lina Cheryazova,25
1994,Freestyle Skiing,Women's Aerials,Sweden,Women,2,silver,Marie Lindgren,23
1994,Freestyle Skiing,Women's Aerials,Norway,Women,3,bronze,Hilde SynnÃ¸ve Lid,22
1994,Ice Hockey,Men's Ice Hockey,Sweden,Men,1,gold,Sweden,
1994,Ice Hockey,Men's Ice Hockey,Canada,Men,2,silver,Canada,
1994,Ice Hockey,Men's Ice Hockey,Finland,Men,3,bronze,Finland,
1994,Luge,Men's Singles,Germany,Men,1,gold,Georg Hackl,27
1994,Luge,Men's Singles,Austria,Men,2,silver,Markus Prock,29
1994,Luge,Men's Singles,Italy,Men,3,bronze,Armin ZÃ¶ggeler,20
1994,Luge,Men's Doubles,Italy,Men,1,gold,Italy-1,
1994,Luge,Men's Doubles,Italy,Men,2,silver,Italy-2,
1994,Luge,Men's Doubles,Germany,Men,3,bronze,Germany-1,
1994,Luge,Women's Singles,Italy,Women,1,gold,Gerda Weissensteiner,25
1994,Luge,Women's Singles,Germany,Women,2,silver,Susi Erdmann,26
1994,Luge,Women's Singles,Austria,Women,3,bronze,Andrea Tagwerker,23
1994,Nordic Combined,Men's Team,Japan,Men,1,gold,Japan,
1994,Nordic Combined,Men's Team,Norway,Men,2,silver,Norway,
1994,Nordic Combined,Men's Team,Switzerland,Men,3,bronze,Switzerland,
1994,Nordic Combined,Men's Individual,Norway,Men,1,gold,Fred BÃ¸rre Lundberg,24
1994,Nordic Combined,Men's Individual,Japan,Men,2,silver,Takanori Kono,24
1994,Nordic Combined,Men's Individual,Norway,Men,3,bronze,Bjarte Engen Vik,22
1994,Short-Track Speedskating,Men's 500 Meters,South Korea,Men,1,gold,Chae Ji-Hun,19
1994,Short-Track Speedskating,Men's 500 Meters,Italy,Men,2,silver,Mirko Vuillermin,20
1994,Short-Track Speedskating,Men's 500 Meters,Britain,Men,3,bronze,Nicky Gooch,21
1994,Short-Track Speedskating,"Men's 1,000 Meters",South Korea,Men,1,gold,Kim Gi-Hun,26
1994,Short-Track Speedskating,"Men's 1,000 Meters",South Korea,Men,2,silver,Chae Ji-Hun,19
1994,Short-Track Speedskating,"Men's 1,000 Meters",Canada,Men,3,bronze,Marc Gagnon,18
1994,Short-Track Speedskating,"Men's 5,000-Meter Relay",Italy,Men,1,gold,Italy,
1994,Short-Track Speedskating,"Men's 5,000-Meter Relay",United States,Men,2,silver,United States,
1994,Short-Track Speedskating,"Men's 5,000-Meter Relay",Australia,Men,3,bronze,Australia,
1994,Short-Track Speedskating,Women's 500 Meters,United States,Women,1,gold,Cathy Turner,31
1994,Short-Track Speedskating,Women's 500 Meters,China,Women,2,silver,Zhang Yanmei,21
1994,Short-Track Speedskating,Women's 500 Meters,United States,Women,3,bronze,Amy Peterson,22
1994,Short-Track Speedskating,"Women's 1,000 Meters",South Korea,Women,1,gold,Jeon I-Gyeong,18
1994,Short-Track Speedskating,"Women's 1,000 Meters",Canada,Women,2,silver,Nathalie Lambert,30
1994,Short-Track Speedskating,"Women's 1,000 Meters",South Korea,Women,3,bronze,Kim So-Hui,17
1994,Short-Track Speedskating,"Women's 3,000-Meter Relay",South Korea,Women,1,gold,South Korea,
1994,Short-Track Speedskating,"Women's 3,000-Meter Relay",Canada,Women,2,silver,Canada,
1994,Short-Track Speedskating,"Women's 3,000-Meter Relay",United States,Women,3,bronze,United States,
1994,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Espen Bredesen,26
1994,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Lasse Ottesen,19
1994,Ski Jumping,"Men's Normal Hill, Individual",Germany,Men,3,bronze,Dieter Thoma,24
1994,Ski Jumping,"Men's Large Hill, Individual",Germany,Men,1,gold,Jens WeiÃŸflog,29
1994,Ski Jumping,"Men's Large Hill, Individual",Norway,Men,2,silver,Espen Bredesen,26
1994,Ski Jumping,"Men's Large Hill, Individual",Austria,Men,3,bronze,Andi Goldberger,21
1994,Ski Jumping,"Men's Large Hill, Team",Germany,Men,1,gold,Germany,
1994,Ski Jumping,"Men's Large Hill, Team",Japan,Men,2,silver,Japan,
1994,Ski Jumping,"Men's Large Hill, Team",Austria,Men,3,bronze,Austria,
1994,Speedskating,Men's 500 Meters,Russia,Men,1,gold,Aleksandr Golubyov,21
1994,Speedskating,Men's 500 Meters,Russia,Men,2,silver,Sergey Klevchenya,23
1994,Speedskating,Men's 500 Meters,Japan,Men,3,bronze,Manabu Horii,21
1994,Speedskating,"Men's 1,000 Meters",United States,Men,1,gold,Dan Jansen,28
1994,Speedskating,"Men's 1,000 Meters",Belarus,Men,2,silver,Igor Zhelezovsky,30
1994,Speedskating,"Men's 1,000 Meters",Russia,Men,3,bronze,Sergey Klevchenya,23
1994,Speedskating,"Men's 1,500 Meters",Norway,Men,1,gold,Johann Olav Koss,25
1994,Speedskating,"Men's 1,500 Meters",Netherlands,Men,2,silver,Rintje Ritsma,23
1994,Speedskating,"Men's 1,500 Meters",Netherlands,Men,3,bronze,Falko Zandstra,22
1994,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Johann Olav Koss,25
1994,Speedskating,"Men's 5,000 Meters",Norway,Men,2,silver,Kjell Storelid,23
1994,Speedskating,"Men's 5,000 Meters",Netherlands,Men,3,bronze,Rintje Ritsma,23
1994,Speedskating,"Men's 10,000 Meters",Norway,Men,1,gold,Johann Olav Koss,25
1994,Speedskating,"Men's 10,000 Meters",Norway,Men,2,silver,Kjell Storelid,23
1994,Speedskating,"Men's 10,000 Meters",Netherlands,Men,3,bronze,Bart Veldkamp,26
1994,Speedskating,Women's 500 Meters,United States,Women,1,gold,Bonnie Blair,29
1994,Speedskating,Women's 500 Meters,Canada,Women,2,silver,Susan Auch,27
1994,Speedskating,Women's 500 Meters,Germany,Women,3,bronze,Franziska Schenk,19
1994,Speedskating,"Women's 1,000 Meters",United States,Women,1,gold,Bonnie Blair,29
1994,Speedskating,"Women's 1,000 Meters",Germany,Women,2,silver,Anke Baier-Loef,21
1994,Speedskating,"Women's 1,000 Meters",China,Women,3,bronze,Ye Qiaobo,29
1994,Speedskating,"Women's 1,500 Meters",Austria,Women,1,gold,Emese Nemeth-Hunyady,27
1994,Speedskating,"Women's 1,500 Meters",Russia,Women,2,silver,Svetlana Fedotkina,26
1994,Speedskating,"Women's 1,500 Meters",Germany,Women,3,bronze,Gunda Niemann-Stirnemann-Kleemann,27
1994,Speedskating,"Women's 3,000 Meters",Russia,Women,1,gold,Svetlana Bazhanova,21
1994,Speedskating,"Women's 3,000 Meters",Austria,Women,2,silver,Emese Nemeth-Hunyady,27
1994,Speedskating,"Women's 3,000 Meters",Germany,Women,3,bronze,Claudia Pechstein,21
1994,Speedskating,"Women's 5,000 Meters",Germany,Women,1,gold,Claudia Pechstein,21
1994,Speedskating,"Women's 5,000 Meters",Germany,Women,2,silver,Gunda Niemann-Stirnemann-Kleemann,27
1994,Speedskating,"Women's 5,000 Meters",Japan,Women,3,bronze,Hiromi Yamamoto,23
1998,Alpine Skiing,Men's Downhill,France,Men,1,gold,Jean-Luc CrÃ©tier,31
1998,Alpine Skiing,Men's Downhill,Norway,Men,2,silver,Lasse Kjus,27
1998,Alpine Skiing,Men's Downhill,Austria,Men,3,bronze,Hannes Trinkl,30
1998,Alpine Skiing,Men's Super G,Austria,Men,1,gold,Hermann Maier,25
1998,Alpine Skiing,Men's Super G,Switzerland,Men,2,silver,Didier Cuche,23
1998,Alpine Skiing,Men's Super G,Austria,Men,2,silver,Hans Knauss,26
1998,Alpine Skiing,Men's Giant Slalom,Austria,Men,1,gold,Hermann Maier,25
1998,Alpine Skiing,Men's Giant Slalom,Austria,Men,2,silver,Stephan Eberharter,28
1998,Alpine Skiing,Men's Giant Slalom,Switzerland,Men,3,bronze,Michael von GrÃ_nigen,28
1998,Alpine Skiing,Men's Slalom,Norway,Men,1,gold,Hans Petter Buraas,22
1998,Alpine Skiing,Men's Slalom,Norway,Men,2,silver,Ole Kristian Furuseth,31
1998,Alpine Skiing,Men's Slalom,Austria,Men,3,bronze,Thomas Sykora,29
1998,Alpine Skiing,Men's Combined,Austria,Men,1,gold,Mario Reiter,27
1998,Alpine Skiing,Men's Combined,Norway,Men,2,silver,Lasse Kjus,27
1998,Alpine Skiing,Men's Combined,Austria,Men,3,bronze,Christian Mayer,26
1998,Alpine Skiing,Women's Downhill,Germany,Women,1,gold,Katja Seizinger,25
1998,Alpine Skiing,Women's Downhill,Sweden,Women,2,silver,Pernilla Wiberg,27
1998,Alpine Skiing,Women's Downhill,France,Women,3,bronze,Florence Masnada,29
1998,Alpine Skiing,Women's Super G,United States,Women,1,gold,Picabo Street,26
1998,Alpine Skiing,Women's Super G,Austria,Women,2,silver,Michaela Dorfmeister,24
1998,Alpine Skiing,Women's Super G,Austria,Women,3,bronze,Alexandra Meissnitzer,24
1998,Alpine Skiing,Women's Giant Slalom,Italy,Women,1,gold,Deborah Compagnoni,27
1998,Alpine Skiing,Women's Giant Slalom,Austria,Women,2,silver,Alexandra Meissnitzer,24
1998,Alpine Skiing,Women's Giant Slalom,Germany,Women,3,bronze,Katja Seizinger,25
1998,Alpine Skiing,Women's Slalom,Germany,Women,1,gold,Hilde Gerg,22
1998,Alpine Skiing,Women's Slalom,Italy,Women,2,silver,Deborah Compagnoni,27
1998,Alpine Skiing,Women's Slalom,Australia,Women,3,bronze,Zali Steggall,23
1998,Alpine Skiing,Women's Combined,Germany,Women,1,gold,Katja Seizinger,25
1998,Alpine Skiing,Women's Combined,Germany,Women,2,silver,Martina Ertl-Renz,24
1998,Alpine Skiing,Women's Combined,Germany,Women,3,bronze,Hilde Gerg,22
1998,Biathlon,Men's 10-Kilometer Sprint,Norway,Men,1,gold,Ole Einar BjÃ¸rndalen,24
1998,Biathlon,Men's 10-Kilometer Sprint,Norway,Men,2,silver,Frode Andresen,24
1998,Biathlon,Men's 10-Kilometer Sprint,Finland,Men,3,bronze,Ville RÃ_ikkÃ¶nen,25
1998,Biathlon,Men's 20 Kilometers,Norway,Men,1,gold,Halvard Hanevold,28
1998,Biathlon,Men's 20 Kilometers,Italy,Men,2,silver,Pieralberto Carrara,31
1998,Biathlon,Men's 20 Kilometers,Belarus,Men,3,bronze,Aleksey Aydarov,23
1998,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,Germany,Men,1,gold,Germany,
1998,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,Norway,Men,2,silver,Norway,
1998,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,Russia,Men,3,bronze,Russia,
1998,Biathlon,Women's 7.5-Kilometer Sprint,Russia,Women,1,gold,Galina Kukleva,25
1998,Biathlon,Women's 7.5-Kilometer Sprint,Germany,Women,2,silver,Uschi Disl,27
1998,Biathlon,Women's 7.5-Kilometer Sprint,Germany,Women,3,bronze,Katrin Apel,24
1998,Biathlon,Women's 15 Kilometers,Bulgaria,Women,1,gold,Ekaterina Dafovska,22
1998,Biathlon,Women's 15 Kilometers,Ukraine,Women,2,silver,Olena Petrova,25
1998,Biathlon,Women's 15 Kilometers,Germany,Women,3,bronze,Uschi Disl,27
1998,Biathlon,Women's 4 Ã— 7.5-Kilometer Relay,Germany,Women,1,gold,Germany,
1998,Biathlon,Women's 4 Ã— 7.5-Kilometer Relay,Russia,Women,2,silver,Russia,
1998,Biathlon,Women's 4 Ã— 7.5-Kilometer Relay,Norway,Women,3,bronze,Norway,
1998,Bobsled,Men's Two,Italy,Men,1,gold,Italy-1,
1998,Bobsled,Men's Two,Canada,Men,1,gold,Canada-1,
1998,Bobsled,Men's Two,Germany,Men,3,bronze,Germany-1,
1998,Bobsled,Men's Four,Germany,Men,1,gold,Germany-2,
1998,Bobsled,Men's Four,Switzerland,Men,2,silver,Switzerland-1,
1998,Bobsled,Men's Four,Britain,Men,3,bronze,Britain,
1998,Bobsled,Men's Four,France,Men,3,bronze,France,
1998,Cross-Country Skiing,Men's 10 Kilometers,Norway,Men,1,gold,BjÃ¸rn DÃ_hlie,30
1998,Cross-Country Skiing,Men's 10 Kilometers,Austria,Men,2,silver,Markus Gandler,32
1998,Cross-Country Skiing,Men's 10 Kilometers,Finland,Men,3,bronze,Mika MyllylÃ_,28
1998,Cross-Country Skiing,Men's 30 Kilometers,Finland,Men,1,gold,Mika MyllylÃ_,28
1998,Cross-Country Skiing,Men's 30 Kilometers,Norway,Men,2,silver,Erling Jevne,31
1998,Cross-Country Skiing,Men's 30 Kilometers,Italy,Men,3,bronze,Silvio Fauner,29
1998,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,1,gold,BjÃ¸rn DÃ_hlie,30
1998,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,2,silver,Niklas Jonsson,28
1998,Cross-Country Skiing,Men's 50 Kilometers,Austria,Men,3,bronze,Christian Hoffmann,23
1998,Cross-Country Skiing,Men's 10/15-Kilometer pursuit,Norway,Men,1,gold,Thomas Alsgaard,26
1998,Cross-Country Skiing,Men's 10/15-Kilometer pursuit,Norway,Men,2,silver,BjÃ¸rn DÃ_hlie,30
1998,Cross-Country Skiing,Men's 10/15-Kilometer pursuit,Kazakhstan,Men,3,bronze,Vladimir Smirnov,33
1998,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,1,gold,Norway,
1998,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Italy,Men,2,silver,Italy,
1998,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,3,bronze,Finland,
1998,Cross-Country Skiing,Women's 5 Kilometers,Russia,Women,1,gold,Larisa Lazutina,32
1998,Cross-Country Skiing,Women's 5 Kilometers,Czech Republic,Women,2,silver,KateÅ™ina NeumannovÃ¡,24
1998,Cross-Country Skiing,Women's 5 Kilometers,Norway,Women,3,bronze,Bente Skari-Martinsen,25
1998,Cross-Country Skiing,Women's 15 Kilometers,Russia,Women,1,gold,Olga Danilova,27
1998,Cross-Country Skiing,Women's 15 Kilometers,Russia,Women,2,silver,Larisa Lazutina,32
1998,Cross-Country Skiing,Women's 15 Kilometers,Norway,Women,3,bronze,Anita Moen-Guidon,30
1998,Cross-Country Skiing,Women's 30 Kilometers,Russia,Women,1,gold,Yuliya Chepalova,21
1998,Cross-Country Skiing,Women's 30 Kilometers,Italy,Women,2,silver,Stefania Belmondo,29
1998,Cross-Country Skiing,Women's 30 Kilometers,Russia,Women,3,bronze,Larisa Lazutina,32
1998,Cross-Country Skiing,Women's 5/10-Kilometer pursuit,Russia,Women,1,gold,Larisa Lazutina,32
1998,Cross-Country Skiing,Women's 5/10-Kilometer pursuit,Russia,Women,2,silver,Olga Danilova,27
1998,Cross-Country Skiing,Women's 5/10-Kilometer pursuit,Czech Republic,Women,3,bronze,KateÅ™ina NeumannovÃ¡,24
1998,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,Russia,Women,1,gold,Russia,
1998,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,Norway,Women,2,silver,Norway,
1998,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,Italy,Women,3,bronze,Italy,
1998,Curling,Men's Curling,Switzerland,Men,1,gold,Switzerland,
1998,Curling,Men's Curling,Canada,Men,2,silver,Canada,
1998,Curling,Men's Curling,Norway,Men,3,bronze,Norway,
1998,Curling,Women's Curling,Canada,Women,1,gold,Canada,
1998,Curling,Women's Curling,Denmark,Women,2,silver,Denmark,
1998,Curling,Women's Curling,Sweden,Women,3,bronze,Sweden,
1998,Figure Skating,Men's Singles,Russia,Men,1,gold,Ilya Kulik,20
1998,Figure Skating,Men's Singles,Canada,Men,2,silver,Elvis Stojko,25
1998,Figure Skating,Men's Singles,France,Men,3,bronze,Philippe Candeloro,25
1998,Figure Skating,Mixed Pairs,Russia,Mixed,1,gold,Russia-1,
1998,Figure Skating,Mixed Pairs,Russia,Mixed,2,silver,Russia-2,
1998,Figure Skating,Mixed Pairs,Germany,Mixed,3,bronze,Germany-1,
1998,Figure Skating,Mixed Ice Dancing,Russia,Mixed,1,gold,Russia-1,
1998,Figure Skating,Mixed Ice Dancing,Russia,Mixed,2,silver,Russia-2,
1998,Figure Skating,Mixed Ice Dancing,France,Mixed,3,bronze,France-1,
1998,Figure Skating,Women's Singles,United States,Women,1,gold,Tara Lipinski,15
1998,Figure Skating,Women's Singles,United States,Women,2,silver,Michelle Kwan,17
1998,Figure Skating,Women's Singles,China,Women,3,bronze,Chen Lu,21
1998,Freestyle Skiing,Men's Moguls,United States,Men,1,gold,Jonny Moseley,22
1998,Freestyle Skiing,Men's Moguls,Finland,Men,2,silver,Janne Lahtela,23
1998,Freestyle Skiing,Men's Moguls,Finland,Men,3,bronze,Sami Mustonen,20
1998,Freestyle Skiing,Men's Aerials,United States,Men,1,gold,Eric Bergoust,28
1998,Freestyle Skiing,Men's Aerials,France,Men,2,silver,SÃ©bastien Foucras,26
1998,Freestyle Skiing,Men's Aerials,Belarus,Men,3,bronze,Dmitry Dashchinsky,20
1998,Freestyle Skiing,Women's Moguls,Japan,Women,1,gold,Tae Satoya,21
1998,Freestyle Skiing,Women's Moguls,Germany,Women,2,silver,Tatjana Mittermayer,33
1998,Freestyle Skiing,Women's Moguls,Norway,Women,3,bronze,Kari Traa,24
1998,Freestyle Skiing,Women's Aerials,United States,Women,1,gold,Nikki Stone,27
1998,Freestyle Skiing,Women's Aerials,China,Women,2,silver,Xu Nannan,19
1998,Freestyle Skiing,Women's Aerials,Switzerland,Women,3,bronze,Colette Brand,30
1998,Ice Hockey,Men's Ice Hockey,Czech Republic,Men,1,gold,Czech Republic,
1998,Ice Hockey,Men's Ice Hockey,Russia,Men,2,silver,Russia,
1998,Ice Hockey,Men's Ice Hockey,Finland,Men,3,bronze,Finland,
1998,Ice Hockey,Women's Ice Hockey,United States,Women,1,gold,United States,
1998,Ice Hockey,Women's Ice Hockey,Canada,Women,2,silver,Canada,
1998,Ice Hockey,Women's Ice Hockey,Finland,Women,3,bronze,Finland,
1998,Luge,Men's Singles,Germany,Men,1,gold,Georg Hackl,31
1998,Luge,Men's Singles,Italy,Men,2,silver,Armin ZÃ¶ggeler,24
1998,Luge,Men's Singles,Germany,Men,3,bronze,Jens MÃ_ller,32
1998,Luge,Men's Doubles,Germany,Men,1,gold,Germany-1,
1998,Luge,Men's Doubles,United States,Men,2,silver,United States-1,
1998,Luge,Men's Doubles,United States,Men,3,bronze,United States-2,
1998,Luge,Women's Singles,Germany,Women,1,gold,Silke Kraushaar,27
1998,Luge,Women's Singles,Germany,Women,2,silver,Barbara Niedernhuber,23
1998,Luge,Women's Singles,Austria,Women,3,bronze,Angelika Neuner,28
1998,Nordic Combined,Men's Team,Norway,Men,1,gold,Norway,
1998,Nordic Combined,Men's Team,Finland,Men,2,silver,Finland,
1998,Nordic Combined,Men's Team,France,Men,3,bronze,France,
1998,Nordic Combined,Men's Individual,Norway,Men,1,gold,Bjarte Engen Vik,26
1998,Nordic Combined,Men's Individual,Finland,Men,2,silver,Samppa Lajunen,18
1998,Nordic Combined,Men's Individual,Russia,Men,3,bronze,Valery Stolyarov,27
1998,Short-Track Speedskating,Men's 500 Meters,Japan,Men,1,gold,Takafumi Nishitani,19
1998,Short-Track Speedskating,Men's 500 Meters,China,Men,2,silver,An Yulong,19
1998,Short-Track Speedskating,Men's 500 Meters,Japan,Men,3,bronze,Hitoshi Uematsu,23
1998,Short-Track Speedskating,"Men's 1,000 Meters",South Korea,Men,1,gold,Kim Dong-Seong,17
1998,Short-Track Speedskating,"Men's 1,000 Meters",China,Men,2,silver,Li Jiajun,22
1998,Short-Track Speedskating,"Men's 1,000 Meters",Canada,Men,3,bronze,Ã‰ric BÃ©dard,21
1998,Short-Track Speedskating,"Men's 5,000-Meter Relay",Canada,Men,1,gold,Canada,
1998,Short-Track Speedskating,"Men's 5,000-Meter Relay",South Korea,Men,2,silver,South Korea,
1998,Short-Track Speedskating,"Men's 5,000-Meter Relay",China,Men,3,bronze,China,
1998,Short-Track Speedskating,Women's 500 Meters,Canada,Women,1,gold,Annie Perreault,26
1998,Short-Track Speedskating,Women's 500 Meters,China,Women,2,silver,Yang Yang (S),20
1998,Short-Track Speedskating,Women's 500 Meters,South Korea,Women,3,bronze,Jeon I-Gyeong,22
1998,Short-Track Speedskating,"Women's 1,000 Meters",South Korea,Women,1,gold,Jeon I-Gyeong,22
1998,Short-Track Speedskating,"Women's 1,000 Meters",China,Women,2,silver,Yang Yang (S),20
1998,Short-Track Speedskating,"Women's 1,000 Meters",South Korea,Women,3,bronze,Won Hye-Gyeong,18
1998,Short-Track Speedskating,"Women's 3,000-Meter Relay",South Korea,Women,1,gold,South Korea,
1998,Short-Track Speedskating,"Women's 3,000-Meter Relay",China,Women,2,silver,China,
1998,Short-Track Speedskating,"Women's 3,000-Meter Relay",Canada,Women,3,bronze,Canada,
1998,Ski Jumping,"Men's Normal Hill, Individual",Finland,Men,1,gold,Jani Soininen,25
1998,Ski Jumping,"Men's Normal Hill, Individual",Japan,Men,2,silver,Kazuyoshi Funaki,22
1998,Ski Jumping,"Men's Normal Hill, Individual",Austria,Men,3,bronze,Andreas WidhÃ¶lzl,21
1998,Ski Jumping,"Men's Large Hill, Individual",Japan,Men,1,gold,Kazuyoshi Funaki,22
1998,Ski Jumping,"Men's Large Hill, Individual",Finland,Men,2,silver,Jani Soininen,25
1998,Ski Jumping,"Men's Large Hill, Individual",Japan,Men,3,bronze,Masahiko Harada,29
1998,Ski Jumping,"Men's Large Hill, Team",Japan,Men,1,gold,Japan,
1998,Ski Jumping,"Men's Large Hill, Team",Germany,Men,2,silver,Germany,
1998,Ski Jumping,"Men's Large Hill, Team",Austria,Men,3,bronze,Austria,
1998,Snowboarding,Men's Giant Slalom,Canada,Men,1,gold,Ross Rebagliati,26
1998,Snowboarding,Men's Giant Slalom,Italy,Men,2,silver,Thomas Prugger,26
1998,Snowboarding,Men's Giant Slalom,Switzerland,Men,3,bronze,Ueli Kestenholz,22
1998,Snowboarding,Men's Halfpipe,Switzerland,Men,1,gold,Gian Simmen,20
1998,Snowboarding,Men's Halfpipe,Norway,Men,2,silver,Daniel Franck,23
1998,Snowboarding,Men's Halfpipe,United States,Men,3,bronze,Ross Powers,18
1998,Snowboarding,Women's Giant Slalom,France,Women,1,gold,Karine Ruby,20
1998,Snowboarding,Women's Giant Slalom,Germany,Women,2,silver,Heidi Renoth,19
1998,Snowboarding,Women's Giant Slalom,Austria,Women,3,bronze,Brigitte KÃ¶ck,27
1998,Snowboarding,Women's Halfpipe,Germany,Women,1,gold,Nicola Thost,20
1998,Snowboarding,Women's Halfpipe,Norway,Women,2,silver,Stine Brun Kjeldaas,22
1998,Snowboarding,Women's Halfpipe,United States,Women,3,bronze,Shannon Dunn,25
1998,Speedskating,Men's 500 Meters,Japan,Men,1,gold,Hiroyasu Shimizu,23
1998,Speedskating,Men's 500 Meters,Canada,Men,2,silver,Jeremy Wotherspoon,21
1998,Speedskating,Men's 500 Meters,Canada,Men,3,bronze,Kevin Overland,23
1998,Speedskating,"Men's 1,000 Meters",Netherlands,Men,1,gold,Ids Postma,24
1998,Speedskating,"Men's 1,000 Meters",Netherlands,Men,2,silver,Jan Bos,22
1998,Speedskating,"Men's 1,000 Meters",Japan,Men,3,bronze,Hiroyasu Shimizu,23
1998,Speedskating,"Men's 1,500 Meters",Norway,Men,1,gold,Ã…dne SÃ¸ndrÃ¥l,26
1998,Speedskating,"Men's 1,500 Meters",Netherlands,Men,2,silver,Ids Postma,24
1998,Speedskating,"Men's 1,500 Meters",Netherlands,Men,3,bronze,Rintje Ritsma,27
1998,Speedskating,"Men's 5,000 Meters",Netherlands,Men,1,gold,Gianni Romme,24
1998,Speedskating,"Men's 5,000 Meters",Netherlands,Men,2,silver,Rintje Ritsma,27
1998,Speedskating,"Men's 5,000 Meters",Belgium,Men,3,bronze,Bart Veldkamp,30
1998,Speedskating,"Men's 10,000 Meters",Netherlands,Men,1,gold,Gianni Romme,24
1998,Speedskating,"Men's 10,000 Meters",Netherlands,Men,2,silver,Bob de Jong,21
1998,Speedskating,"Men's 10,000 Meters",Netherlands,Men,3,bronze,Rintje Ritsma,27
1998,Speedskating,Women's 500 Meters,Canada,Women,1,gold,Catriona Le May Doan,27
1998,Speedskating,Women's 500 Meters,Canada,Women,2,silver,Susan Auch,31
1998,Speedskating,Women's 500 Meters,Japan,Women,3,bronze,Tomomi Okazaki,26
1998,Speedskating,"Women's 1,000 Meters",Netherlands,Women,1,gold,Marianne Timmer,23
1998,Speedskating,"Women's 1,000 Meters",United States,Women,2,silver,Chris Witty,22
1998,Speedskating,"Women's 1,000 Meters",Canada,Women,3,bronze,Catriona Le May Doan,27
1998,Speedskating,"Women's 1,500 Meters",Netherlands,Women,1,gold,Marianne Timmer,23
1998,Speedskating,"Women's 1,500 Meters",Germany,Women,2,silver,Gunda Niemann-Stirnemann-Kleemann,31
1998,Speedskating,"Women's 1,500 Meters",United States,Women,3,bronze,Chris Witty,22
1998,Speedskating,"Women's 3,000 Meters",Germany,Women,1,gold,Gunda Niemann-Stirnemann-Kleemann,31
1998,Speedskating,"Women's 3,000 Meters",Germany,Women,2,silver,Claudia Pechstein,25
1998,Speedskating,"Women's 3,000 Meters",Germany,Women,3,bronze,Anni Friesinger-Postma,21
1998,Speedskating,"Women's 5,000 Meters",Germany,Women,1,gold,Claudia Pechstein,25
1998,Speedskating,"Women's 5,000 Meters",Germany,Women,2,silver,Gunda Niemann-Stirnemann-Kleemann,31
1998,Speedskating,"Women's 5,000 Meters",Kazakhstan,Women,3,bronze,Lyudmila Prokashova,29
2002,Alpine Skiing,Men's Downhill,Austria,Men,1,gold,Fritz Strobl,29
2002,Alpine Skiing,Men's Downhill,Norway,Men,2,silver,Lasse Kjus,31
2002,Alpine Skiing,Men's Downhill,Austria,Men,3,bronze,Stephan Eberharter,32
2002,Alpine Skiing,Men's Super G,Norway,Men,1,gold,Kjetil AndrÃ© Aamodt,30
2002,Alpine Skiing,Men's Super G,Austria,Men,2,silver,Stephan Eberharter,32
2002,Alpine Skiing,Men's Super G,Austria,Men,3,bronze,Andreas Schifferer,27
2002,Alpine Skiing,Men's Giant Slalom,Austria,Men,1,gold,Stephan Eberharter,32
2002,Alpine Skiing,Men's Giant Slalom,United States,Men,2,silver,Bode Miller,24
2002,Alpine Skiing,Men's Giant Slalom,Norway,Men,3,bronze,Lasse Kjus,31
2002,Alpine Skiing,Men's Slalom,France,Men,1,gold,Jean-Pierre Vidal,24
2002,Alpine Skiing,Men's Slalom,France,Men,2,silver,SÃ©bastien Amiez,29
2002,Alpine Skiing,Men's Slalom,Austria,Men,3,bronze,Benjamin Raich,23
